
========== OUTPUT ==========
Job ID	STATUS	Submit_Time	Start_Time	Finish Time	Expected_FT	Lateness	is_Tardy
job0	SUCCESS	0000049	0000049	000170.00	000174.00	000004.00	false	1|6	1|6
job2	SUCCESS	0000122	0000122	000242.25	000247.00	000004.75	false	1|6	1|6
job3	SUCCESS	0000197	0000197	000312.00	000322.00	000010.00	false	1|6	1|6
job4	SUCCESS	0000208	0000208	000325.00	000333.01	000008.01	false	1|6	1|6
job1	SUCCESS	0000101	0000233	000350.25	000226.00	-000124.25	true	1|6	1|6
job5	SUCCESS	0000349	0000349	000466.00	000474.00	000008.00	false	1|6	1|6
job7	SUCCESS	0000379	0000379	000498.00	000504.00	000006.00	false	1|6	1|6
job8	SUCCESS	0000463	0000463	000579.00	000588.01	000009.01	false	1|6	1|6
job9	SUCCESS	0000487	0000487	000603.00	000612.00	000009.00	false	1|6	1|6
job10	SUCCESS	0000497	0000497	000620.00	000622.00	000002.00	false	1|6	1|6
job11	SUCCESS	0000609	0000609	000723.00	000734.00	000011.00	false	1|6	1|6
job12	SUCCESS	0000666	0000666	000788.86	000791.00	000002.14	false	1|6	1|6
job13	SUCCESS	0000698	0000698	000819.86	000823.00	000003.14	false	1|6	1|6
job14	SUCCESS	0000724	0000724	000837.86	000849.00	000011.14	false	1|6	1|6
job6	SUCCESS	0000373	0000764	000881.25	000498.01	-000383.24	true	1|6	1|6
job15	SUCCESS	0000930	0000930	001051.00	001055.00	000004.00	false	1|6	1|6
job16	SUCCESS	0001112	0001112	001230.00	001237.00	000007.00	false	1|6	1|6
job20	SUCCESS	0001187	0001187	001307.00	001312.00	000005.00	false	1|6	1|6
job19	SUCCESS	0001185	0001185	001321.00	001321.12	000000.12	false	72|6	72|6
job21	SUCCESS	0001214	0001214	001337.00	001339.00	000002.00	false	1|6	1|6
job22	SUCCESS	0001234	0001234	001354.00	001359.00	000005.00	false	1|6	1|6
job25	SUCCESS	0001420	0001420	001540.00	001545.05	000005.05	false	1|6	1|6
job27	SUCCESS	0001496	0001496	001617.00	001621.00	000004.00	false	1|6	1|6
job28	SUCCESS	0001525	0001525	001641.00	001650.00	000009.00	false	1|6	1|6
job29	SUCCESS	0001665	0001665	001785.00	001790.00	000005.00	false	1|6	1|6
job30	SUCCESS	0001669	0001669	001790.00	001794.00	000004.00	false	1|6	1|6
job31	SUCCESS	0001700	0001700	001827.00	001827.43	000000.43	false	16|6	16|6
job32	SUCCESS	0001725	0001725	001840.00	001850.00	000010.00	false	1|6	1|6
job33	SUCCESS	0001746	0001746	001864.00	001871.00	000007.00	false	1|6	1|6
job34	SUCCESS	0001856	0001856	001972.00	001981.00	000009.00	false	1|6	1|6
job39	SUCCESS	0001977	0001977	002092.00	002102.00	000010.00	false	1|6	1|6
job36	SUCCESS	0001975	0001975	002094.00	002100.00	000006.00	false	1|6	1|6
job40	SUCCESS	0001981	0001981	002097.00	002106.00	000009.00	false	1|6	1|6
job35	SUCCESS	0001974	0001974	002099.00	002099.00	000000.00	false	1|6	1|6
job38	SUCCESS	0001976	0001976	002099.00	002101.00	000002.00	false	1|6	1|6
job37	SUCCESS	0001975	0001975	002100.00	002100.00	000000.00	false	1|6	1|6
job42	SUCCESS	0002228	0002228	002344.00	002353.00	000009.00	false	1|6	1|6
job43	SUCCESS	0002281	0002281	002404.00	002406.16	000002.16	false	2|6	2|6
job17	SUCCESS	0001128	0002286	002433.78	001276.92	-001156.86	true	154|6	154|6
job44	SUCCESS	0002323	0002323	002444.00	002448.00	000004.00	false	1|6	1|6
job18	SUCCESS	0001180	0002378	002492.78	001305.00	-001187.78	true	1|6	1|6
job23	SUCCESS	0001262	0002545	002663.83	001387.00	-001276.83	true	1|6	1|6
job24	SUCCESS	0001285	0002601	002722.00	001410.00	-001312.00	true	1|6	1|6
job45	SUCCESS	0002647	0002647	002762.83	002772.00	000009.17	false	1|6	1|6
job46	SUCCESS	0002684	0002684	002803.83	002809.00	000005.17	false	1|6	1|6
job48	SUCCESS	0002793	0002793	002914.83	002918.00	000003.17	false	1|6	1|6
job49	SUCCESS	0002826	0002826	002947.83	002951.00	000003.17	false	1|6	1|6
job50	SUCCESS	0002856	0002856	002970.83	002981.00	000010.17	false	1|6	1|6
job51	SUCCESS	0002863	0002863	002982.83	002988.00	000005.17	false	1|6	1|6
job52	SUCCESS	0002872	0002872	002989.83	002997.01	000007.17	false	1|6	1|6
job55	SUCCESS	0002877	0002877	002996.83	003002.00	000005.17	false	1|6	1|6
job56	SUCCESS	0002878	0002878	002996.83	003003.00	000006.17	false	1|6	1|6
job54	SUCCESS	0002877	0002877	002998.83	003002.00	000003.17	false	1|6	1|6
job53	SUCCESS	0002876	0002876	002999.83	003001.00	000001.17	false	1|6	1|6
job57	SUCCESS	0002879	0002879	003001.83	003004.00	000002.17	false	1|6	1|6
job26	SUCCESS	0001453	0002924	003039.25	001578.00	-001461.25	true	1|6	1|6
job59	SUCCESS	0002928	0002928	003041.83	003053.00	000011.17	false	1|6	1|6
job58	SUCCESS	0002924	0002924	003047.83	003049.00	000001.17	false	1|6	1|6
job60	SUCCESS	0002977	0002977	003096.83	003102.00	000005.17	false	1|6	1|6
job61	SUCCESS	0003054	0003054	003172.83	003179.00	000006.17	false	1|6	1|6
job63	SUCCESS	0003137	0003137	003259.83	003262.00	000002.17	false	1|6	1|6
job64	SUCCESS	0003171	0003171	003286.83	003296.00	000009.17	false	1|6	1|6
job66	SUCCESS	0003213	0003213	003329.83	003338.00	000008.17	false	1|6	1|6
job67	SUCCESS	0003263	0003263	003386.83	003388.00	000001.17	false	1|6	1|6
job68	SUCCESS	0003316	0003316	003439.83	003441.00	000001.17	false	1|6	1|6
job71	SUCCESS	0003418	0003418	003541.83	003543.00	000001.17	false	122|6	122|6
job72	SUCCESS	0003450	0003450	003571.83	003575.00	000003.17	false	1|6	1|6
job74	SUCCESS	0003476	0003476	003598.83	003601.00	000002.17	false	1|6	1|6
job76	SUCCESS	0003570	0003570	003685.83	003695.01	000009.17	false	1|6	1|6
job77	SUCCESS	0003571	0003571	003694.83	003696.00	000001.17	false	131|6	131|6
job78	SUCCESS	0003601	0003601	003720.83	003726.00	000005.17	false	1|6	1|6
job80	SUCCESS	0003646	0003646	003767.83	003771.00	000003.17	false	1|6	1|6
job82	SUCCESS	0003719	0003719	003838.83	003844.00	000005.17	false	1|6	1|6
job84	SUCCESS	0003759	0003759	003883.83	003886.46	000002.63	false	16|6	16|6
job85	SUCCESS	0003813	0003813	003937.83	003938.91	000001.08	false	6|6	6|6
job88	SUCCESS	0003868	0003868	003991.83	003993.00	000001.17	false	1|6	1|6
job90	SUCCESS	0003889	0003889	004008.83	004014.00	000005.17	false	1|6	1|6
job91	SUCCESS	0003904	0003904	004024.83	004029.00	000004.17	false	1|6	1|6
job92	SUCCESS	0003958	0003958	004074.83	004083.00	000008.17	false	1|6	1|6
job93	SUCCESS	0004006	0004006	004121.83	004131.00	000009.17	false	1|6	1|6
job94	SUCCESS	0004046	0004046	004159.83	004171.00	000011.17	false	1|6	1|6
