
========== Fixed Pool ==========
VM ID	TYPE	Price($/year)	Total Allocation Time	Total Incurred Cost($/year)
Total cost for fixed pool in $ per year: 0.0

========== Floating Pool ==========
VM ID	TYPE	Price($/hour)	Total Allocation Time	Total Incurred Cost($)
367	ONDEMAND	0.07	3264	0.07
368	ONDEMAND	0.07	3264	0.07
369	ONDEMAND	0.07	3264	0.07
370	ONDEMAND	0.07	3264	0.07
371	ONDEMAND	0.07	3264	0.07
372	ONDEMAND	0.07	3264	0.07
373	ONDEMAND	0.07	3264	0.07
374	ONDEMAND	0.07	3264	0.07
378	ONDEMAND	0.07	3264	0.07
380	ONDEMAND	0.07	3264	0.07
381	ONDEMAND	0.07	3264	0.07
382	ONDEMAND	0.07	3264	0.07
383	ONDEMAND	0.07	3264	0.07
384	ONDEMAND	0.07	3264	0.07
386	ONDEMAND	0.07	3264	0.07
387	ONDEMAND	0.07	3264	0.07
388	ONDEMAND	0.07	3264	0.07
390	ONDEMAND	0.07	3264	0.07
391	ONDEMAND	0.07	3264	0.07
392	ONDEMAND	0.07	3264	0.07
393	ONDEMAND	0.07	3264	0.07
394	ONDEMAND	0.07	3264	0.07
395	ONDEMAND	0.07	3264	0.07
396	ONDEMAND	0.07	3264	0.07
397	ONDEMAND	0.07	3264	0.07
398	ONDEMAND	0.07	3264	0.07
399	ONDEMAND	0.07	3264	0.07
400	ONDEMAND	0.07	3264	0.07
401	ONDEMAND	0.07	3264	0.07
402	ONDEMAND	0.07	3264	0.07
403	ONDEMAND	0.07	3264	0.07
404	ONDEMAND	0.07	3264	0.07
405	ONDEMAND	0.07	3264	0.07
406	ONDEMAND	0.07	3264	0.07
407	ONDEMAND	0.07	3264	0.07
408	ONDEMAND	0.07	3264	0.07
409	ONDEMAND	0.07	3264	0.07
410	ONDEMAND	0.07	3264	0.07
411	ONDEMAND	0.07	3264	0.07
412	ONDEMAND	0.07	3264	0.07
413	ONDEMAND	0.07	3264	0.07
414	ONDEMAND	0.07	3264	0.07
415	ONDEMAND	0.07	3264	0.07
416	ONDEMAND	0.07	3264	0.07
417	ONDEMAND	0.07	3264	0.07
418	ONDEMAND	0.07	3264	0.07
419	ONDEMAND	0.07	3264	0.07
420	ONDEMAND	0.07	3264	0.07
421	ONDEMAND	0.07	3264	0.07
422	ONDEMAND	0.07	3264	0.07
423	ONDEMAND	0.07	3264	0.07
424	ONDEMAND	0.07	3264	0.07
425	ONDEMAND	0.07	3264	0.07
426	ONDEMAND	0.07	3264	0.07
427	ONDEMAND	0.07	3264	0.07
429	ONDEMAND	0.07	3264	0.07
430	ONDEMAND	0.07	3264	0.07
431	ONDEMAND	0.07	3264	0.07
432	ONDEMAND	0.07	3264	0.07
433	ONDEMAND	0.07	3264	0.07
434	ONDEMAND	0.07	3264	0.07
435	ONDEMAND	0.07	3264	0.07
436	ONDEMAND	0.07	3264	0.07
437	ONDEMAND	0.07	3264	0.07
438	ONDEMAND	0.07	3264	0.07
439	ONDEMAND	0.07	3264	0.07
440	ONDEMAND	0.07	3264	0.07
442	ONDEMAND	0.07	3264	0.07
443	ONDEMAND	0.07	3264	0.07
444	ONDEMAND	0.07	3264	0.07
446	ONDEMAND	0.07	3264	0.07
447	ONDEMAND	0.07	3264	0.07
448	ONDEMAND	0.07	3264	0.07
449	ONDEMAND	0.07	3264	0.07
450	ONDEMAND	0.07	3264	0.07
452	ONDEMAND	0.07	3264	0.07
454	ONDEMAND	0.07	3264	0.07
456	ONDEMAND	0.07	3264	0.07
457	ONDEMAND	0.07	3264	0.07
458	ONDEMAND	0.07	3264	0.07
459	ONDEMAND	0.07	3264	0.07
460	ONDEMAND	0.07	3264	0.07
462	ONDEMAND	0.07	3264	0.07
463	ONDEMAND	0.07	3264	0.07
464	ONDEMAND	0.07	3264	0.07
465	ONDEMAND	0.07	3264	0.07
466	ONDEMAND	0.07	3264	0.07
467	ONDEMAND	0.07	3264	0.07
468	ONDEMAND	0.07	3264	0.07
469	ONDEMAND	0.07	3264	0.07
470	ONDEMAND	0.07	3264	0.07
