
========== OUTPUT ==========
TaskID	JobID	STATUS	DatacenterID	SlotID	Time	Start Time	Finish Time
43	6	REDUCE	SUCCESS	2	12802	19.25	862	881.25
44	6	REDUCE	SUCCESS	2	12803	19.25	862	881.25
45	6	REDUCE	SUCCESS	2	12806	19.25	862	881.25
46	6	REDUCE	SUCCESS	2	12807	19.25	862	881.25
47	6	REDUCE	SUCCESS	2	12810	19.25	862	881.25
48	6	REDUCE	SUCCESS	2	12811	19.25	862	881.25
105	15	MAP	SUCCESS	2	12821	101	930	1031
106	15	REDUCE	SUCCESS	2	12814	20	1031	1051
107	15	REDUCE	SUCCESS	2	12815	20	1031	1051
108	15	REDUCE	SUCCESS	2	12818	20	1031	1051
109	15	REDUCE	SUCCESS	2	12819	20	1031	1051
110	15	REDUCE	SUCCESS	2	12822	20	1031	1051
111	15	REDUCE	SUCCESS	2	12823	20	1031	1051
112	16	MAP	SUCCESS	2	12805	98	1112	1210
113	16	REDUCE	SUCCESS	2	12802	20	1210	1230
114	16	REDUCE	SUCCESS	2	12803	20	1210	1230
115	16	REDUCE	SUCCESS	2	12806	20	1210	1230
116	16	REDUCE	SUCCESS	2	12807	20	1210	1230
117	16	REDUCE	SUCCESS	2	12810	20	1210	1230
118	16	REDUCE	SUCCESS	2	12811	20	1210	1230
292	19	MAP	SUCCESS	2	12813	95	1185	1280
295	19	MAP	SUCCESS	2	12820	95	1185	1280
302	19	MAP	SUCCESS	2	12833	95	1185	1280
317	19	MAP	SUCCESS	2	12864	95	1185	1280
323	19	MAP	SUCCESS	2	12876	95	1185	1280
324	19	MAP	SUCCESS	2	12877	95	1185	1280
327	19	MAP	SUCCESS	2	12884	95	1185	1280
333	19	MAP	SUCCESS	2	12896	95	1185	1280
338	19	MAP	SUCCESS	2	12905	95	1185	1280
354	19	MAP	SUCCESS	2	12937	95	1185	1280
355	19	MAP	SUCCESS	2	12940	95	1185	1280
288	19	MAP	SUCCESS	2	12801	96	1185	1281
286	19	MAP	SUCCESS	2	12808	96	1185	1281
306	19	MAP	SUCCESS	2	12841	96	1185	1281
316	19	MAP	SUCCESS	2	12861	96	1185	1281
326	19	MAP	SUCCESS	2	12881	96	1185	1281
329	19	MAP	SUCCESS	2	12888	96	1185	1281
347	19	MAP	SUCCESS	2	12924	96	1185	1281
287	19	MAP	SUCCESS	2	12809	97	1185	1282
299	19	MAP	SUCCESS	2	12828	97	1185	1282
305	19	MAP	SUCCESS	2	12840	97	1185	1282
337	19	MAP	SUCCESS	2	12904	97	1185	1282
345	19	MAP	SUCCESS	2	12920	97	1185	1282
319	19	MAP	SUCCESS	2	12868	98	1185	1283
330	19	MAP	SUCCESS	2	12889	98	1185	1283
344	19	MAP	SUCCESS	2	12917	98	1185	1283
348	19	MAP	SUCCESS	2	12925	98	1185	1283
351	19	MAP	SUCCESS	2	12932	98	1185	1283
357	19	MAP	SUCCESS	2	12944	98	1185	1283
289	19	MAP	SUCCESS	2	12800	99	1185	1284
294	19	MAP	SUCCESS	2	12817	99	1185	1284
313	19	MAP	SUCCESS	2	12856	99	1185	1284
320	19	MAP	SUCCESS	2	12869	99	1185	1284
350	19	MAP	SUCCESS	2	12929	99	1185	1284
309	19	MAP	SUCCESS	2	12848	100	1185	1285
312	19	MAP	SUCCESS	2	12853	100	1185	1285
315	19	MAP	SUCCESS	2	12860	100	1185	1285
322	19	MAP	SUCCESS	2	12873	100	1185	1285
331	19	MAP	SUCCESS	2	12892	100	1185	1285
335	19	MAP	SUCCESS	2	12900	100	1185	1285
343	19	MAP	SUCCESS	2	12916	100	1185	1285
353	19	MAP	SUCCESS	2	12936	100	1185	1285
303	19	MAP	SUCCESS	2	12836	101	1185	1286
310	19	MAP	SUCCESS	2	12849	101	1185	1286
314	19	MAP	SUCCESS	2	12857	101	1185	1286
321	19	MAP	SUCCESS	2	12872	101	1185	1286
334	19	MAP	SUCCESS	2	12897	101	1185	1286
336	19	MAP	SUCCESS	2	12901	101	1185	1286
356	19	MAP	SUCCESS	2	12941	101	1185	1286
290	19	MAP	SUCCESS	2	12804	102	1185	1287
291	19	MAP	SUCCESS	2	12812	102	1185	1287
296	19	MAP	SUCCESS	2	12821	102	1185	1287
308	19	MAP	SUCCESS	2	12845	102	1185	1287
311	19	MAP	SUCCESS	2	12852	102	1185	1287
328	19	MAP	SUCCESS	2	12885	102	1185	1287
346	19	MAP	SUCCESS	2	12921	102	1185	1287
364	20	MAP	SUCCESS	2	12945	100	1187	1287
293	19	MAP	SUCCESS	2	12816	103	1185	1288
300	19	MAP	SUCCESS	2	12829	103	1185	1288
